file            format  type  num_seqs      sum_len  min_len  avg_len  max_len
PN7RK.m500.fa  FASTA   DNA    800,951  1,061,153,955      500  1,324.9  326,949
PN7RL.m500.fa  FASTA   DNA    664,724  932,050,280      500  1,402.2  643,138
PN7RM.m500.fa  FASTA   DNA    671,923  888,085,311      500  1,321.7  636,663
PN7RN.m500.fa  FASTA   DNA    829,196  1,058,267,551      500  1,276.3  283,797
PN7RO.m500.fa  FASTA   DNA    681,986  917,713,559      500  1,345.6  480,829
PN7RP.m500.fa  FASTA   DNA    691,687  941,592,329      500  1,361.3  849,595
PN7RQ.m500.fa  FASTA   DNA    752,748  1,037,332,373      500  1,378.1  384,286
PN7RS.m500.fa  FASTA   DNA    545,752  757,407,724      500  1,387.8  303,084
PN7RR.m500.fa  FASTA   DNA    615,287  887,882,285      500    1,443  485,097
PN7RT.m500.fa  FASTA   DNA    768,716  1,004,741,198      500    1,307  289,917
PN7RU.m500.fa  FASTA   DNA    735,427  953,797,992      500  1,296.9  695,923
PN7RV.m500.fa  FASTA   DNA    551,916  763,865,193      500    1,384  268,169
PN8RA.m500.fa  FASTA   DNA    642,090  966,865,614      500  1,505.8  951,004
PN8RC.m500.fa  FASTA   DNA    510,628  778,211,635      500    1,524  417,606
PN8RB.m500.fa  FASTA   DNA    654,977  996,336,595      500  1,521.2  951,125
PN8RE.m500.fa  FASTA   DNA    656,883  946,363,689      500  1,440.7  342,959
PN8RD.m500.fa  FASTA   DNA    650,852  970,309,971      500  1,490.8  849,369
PN8RF.m500.fa  FASTA   DNA    616,597  905,376,359      500  1,468.3  292,465
PN8RG.m500.fa  FASTA   DNA    736,025  991,161,558      500  1,346.6  225,520
PN8RH.m500.fa  FASTA   DNA    452,219  713,904,962      500  1,578.7  408,469
PN8RI.m500.fa  FASTA   DNA    612,317  873,210,712      500  1,426.1  266,170
PN8RJ.m500.fa  FASTA   DNA    596,354  850,619,818      500  1,426.4  703,040
PN8RK.m500.fa  FASTA   DNA    543,658  786,536,896      500  1,446.7  301,598
PN8RL.m500.fa  FASTA   DNA    739,992  1,080,726,465      500  1,460.5  621,464
PN8RM.m500.fa  FASTA   DNA    775,089  1,105,531,705      500  1,426.3  362,986
PN8RN.m500.fa  FASTA   DNA    613,561  908,514,684      500  1,480.7  380,352
PN8RO.m500.fa  FASTA   DNA    763,526  1,060,230,528      500  1,388.6  282,806
PN8RP.m500.fa  FASTA   DNA    611,385  925,059,295      500  1,513.1  800,176
PN8RQ.m500.fa  FASTA   DNA    607,682  874,000,303      500  1,438.3  216,967
PN8RR.m500.fa  FASTA   DNA    604,373  911,051,977      500  1,507.4  343,707
PN8RS.m500.fa  FASTA   DNA    682,973  1,023,108,842      500    1,498  823,383
PN9RA.m500.fa  FASTA   DNA    734,135  938,679,538      500  1,278.6  349,640
PN9RB.m500.fa  FASTA   DNA    799,369  1,046,792,840      500  1,309.5  349,639
PN9RC.m500.fa  FASTA   DNA    756,125  967,821,861      500    1,280  323,932
PN9RD.m500.fa  FASTA   DNA    799,779  1,043,208,673      500  1,304.4  303,518
PN9RE.m500.fa  FASTA   DNA    771,446  1,022,771,372      500  1,325.8  349,705
PN9RF.m500.fa  FASTA   DNA    736,577  974,367,761      500  1,322.8  303,586
PN9RG.m500.fa  FASTA   DNA    715,613  924,806,217      500  1,292.3  349,644
PN9RH.m500.fa  FASTA   DNA    681,546  892,417,916      500  1,309.4  349,616
PN9RI.m500.fa  FASTA   DNA    563,208  855,758,941      500  1,519.4  855,557
PN9RJ.m500.fa  FASTA   DNA    724,004  1,142,946,082      500  1,578.6  710,579
PN9RK.m500.fa  FASTA   DNA    564,277  865,592,456      500    1,534  1,045,952
PN9RL.m500.fa  FASTA   DNA    770,124  979,672,603      500  1,272.1  303,523
PN9RM.m500.fa  FASTA   DNA    864,290  1,111,053,039      500  1,285.5  303,694
PN9RN.m500.fa  FASTA   DNA    769,640  981,149,434      500  1,274.8  303,522
PN9RO.m500.fa  FASTA   DNA    665,658  893,497,246      500  1,342.3  308,226
PN9RP.m500.fa  FASTA   DNA    666,685  897,515,261      500  1,346.2  349,687
PN9RQ.m500.fa  FASTA   DNA    689,722  924,007,301      500  1,339.7  303,625
