DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_size
PN16RE.vae.7477	2.645751311
PN5CE.vae.12156	2.645751311
PN2RB.vae.21973	2.645751311
PN10RN.vae.20273	2.645751311
PN16RH.bin.16	2.645751311
PN16RC.bin.14	2.645751311
PN3RA.vae.519	2.645751311
PN8RE.vae.10101	2.645751311
PN2CI.vae.879	2.645751311
PN2RA.vae.31577	2.645751311
PN10RL.vae.771	2.645751311
PN14RP.vae.2063	2.645751311
PN2CJ.vae.7280	2.645751311
PN5LH.vae.17356	2.645751311
PN5RH.vae.15485	2.645751311
PN1CL.vae.22638	2.645751311
PN8RO.vae.2840	2.645751311
PN15RO.bin.135	2.645751311
PN3CG.vae.2539	2.645751311
PN1RC.vae.15837	2.645751311
PN5LD.vae.7877	2.645751311
PN8RR.vae.15059	2.645751311
PN6RL.vae.35006	2.645751311
PN13RP.vae.12446	2.645751311
PN5RA.vae.111528	2.645751311
PN2CB.vae.22637	2.645751311
PN11RH.vae.15484	2.645751311
PN6RB.vae.18442	2.645751311
PN4RE.bin.172	2.645751311
PN7RP.vae.3897	2.645751311
PN5LD.vae.927	2.645751311
PN1RB.vae.4501	2.645751311
PN2RG.bin.62	2.645751311
PN10RP.bin.55	2.645751311
PN13RJ.bin.202	2.645751311
PN10RH.vae.8546	2.645751311
PN5CB.bin.143	2.645751311
PN3RF.vae.10837	2.645751311
PN7RJ.vae.3395	2.645751311
PN8RM.vae.3712	2.645751311
PN9RK.bin.136	2.645751311
PN3DD.vae.16929	2.645751311
PN3RE.vae.8651	2.645751311
PN13RR.bin.186	2.645751311
PN13RP.bin.51	2.645751311
PN8RF.vae.13688	2.645751311
PN13RC.vae.51177	2.645751311
PN2RF.vae.22866	2.645751311
PN1CH.vae.93024	2.645751311
PN4RG.vae.476	2.645751311
PN8RP.vae.3124	2.645751311
PN14RJ.vae.2239	2.449489743
PN8RB.bin.204	2.449489743
PN2LD.bin.87	2.449489743
PN8RK.vae.257	2.449489743
PN13RC.vae.10903	2.449489743
PN5LG.vae.3825	2.449489743
PN3RG.bin.91	2.449489743
PN1GD.bin.41	2.449489743
PN5LE.vae.7329	2.449489743
PN2CC.vae.7452	2.449489743
PN5IB.vae.5283	2.449489743
PN7RI.vae.5574	2.449489743
PN13RC.vae.14047	2.449489743
PN15RM.bin.29	2.449489743
PN11RE.vae.18999	2.449489743
PN3RE.vae.10097	2.449489743
PN16RF.bin.22	2.449489743
PN1GJ.bin.56	2.449489743
PN3LA.vae.2051	2.449489743
PN8RC.vae.1634	2.449489743
PN5RC.bin.237	2.449489743
PN8RI.vae.21106	2.449489743
PN7RM.vae.11221	2.449489743
PN3DG.bin.89	2.449489743
PN14RQ.bin.57	2.449489743
PN1CI.vae.72634	2.449489743
PN5RE.bin.306	2.449489743
PN10RB.vae.64619	2.449489743
PN5IH.vae.2688	2.449489743
PN10RA.vae.11136	2.449489743
PN16RV.vae.14979	2.449489743
PN5CF.vae.63495	2.449489743
PN11RL.vae.8438	2.449489743
PN14RG.bin.125	2.449489743
PN10RI.vae.17698	2.449489743
PN5RD.bin.132	2.449489743
PN3RH.vae.37285	2.449489743
PN7RE.bin.131	2.449489743
PN9RK.vae.4841	2.449489743
PN5CD.bin.62	2.449489743
PN7RD.bin.169	2.449489743
PN3RD.vae.17069	2.449489743
PN1RB.vae.6725	2.449489743
PN10RB.bin.92	2.449489743
PN3GB.vae.4040	2.449489743
PN3LD.vae.14085	2.449489743
PN11RO.vae.18905	2.449489743
PN6RC.vae.9743	2.449489743
PN6RF.vae.7774	2.449489743
PN1CD.vae.19287	2.449489743
PN1RA.vae.14534	2.449489743
PN8RR.vae.25642	2.449489743
PN13RK.vae.28235	2.449489743
PN14RH.vae.6914	2.449489743
PN5LF.vae.16661	2.449489743
PN1RF.vae.12819	2.449489743
PN8RO.vae.2239	2.449489743
PN8RE.vae.56070	2.449489743
PN6RG.bin.102	2.449489743
PN10RI.vae.2857	2.449489743
PN8RH.vae.18486	2.449489743
PN9RC.vae.5861	2.449489743
PN1RA.vae.33950	2.449489743
PN8RO.vae.4975	2.449489743
PN14RP.vae.15464	2.449489743
PN3CG.vae.9098	2.449489743
PN16RU.vae.14478	2.449489743
PN7RC.bin.100	2.449489743
PN11RF.vae.10757	2.449489743
PN15RK.vae.25406	2.449489743
PN16RI.bin.38	2.449489743
PN10RJ.vae.58360	2.449489743
PN6RC.vae.15743	2.449489743
PN5RD.bin.63	2.449489743
PN16RG.vae.49494	2.449489743
PN15RC.vae.93681	2.449489743
PN1RC.vae.11645	2.449489743
PN11RK.vae.11286	2.449489743
PN1RA.vae.5840	2.449489743
PN6RQ.vae.16531	2.449489743
PN8RD.vae.3160	2.449489743
PN5RE.vae.22254	2.449489743
PN10RS.vae.3752	2.449489743
PN7RV.vae.20843	2.449489743
PN8RM.vae.32610	2.449489743
PN3RB.vae.14931	2.449489743
PN2CD.vae.20473	2.449489743
PN3RF.vae.15644	2.449489743
PN10RH.bin.190	2.449489743
PN7RK.bin.25	2.449489743
PN3RH.vae.27444	2.449489743
PN3LE.vae.14644	2.449489743
PN5RE.vae.7681	2.449489743
PN1RB.vae.27901	2.449489743
PN6RD.bin.26	2.449489743
PN3RH.bin.93	2.449489743
PN6RJ.vae.10831	2.449489743
PN5CE.vae.6733	2.449489743
PN1CF.vae.30162	2.449489743
PN9RJ.vae.20216	2.449489743
PN1RL.bin.199	2.449489743
PN5RE.vae.35018	2.449489743
PN6RD.bin.34	2.449489743
PN10RA.vae.10537	2.449489743
PN3CG.vae.8431	2.449489743
PN5RF.vae.14494	2.449489743
PN9RF.bin.169	2.449489743
PN15RM.vae.19256	2.449489743
PN8RR.vae.38071	2.449489743
PN9RL.vae.15265	2.449489743
PN11RJ.vae.50594	2.449489743
PN1RC.vae.12718	2.449489743
PN13RR.vae.21849	2.449489743
PN13RP.bin.174	2.449489743
PN3JE.vae.1057	2.236067977
PN1LI.vae.479	2.236067977
