DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	abundance
PN10RH.bin.3	2.564890443
PN13RT.vae.17061	2.564609886
PN8RE.vae.94814	2.563970927
PN12RE.bin.91	2.562168091
PN5LG.bin.35	2.56163573
PN11RI.vae.7714	2.559468226
PN3RE.vae.10097	2.558268026
PN3CH.vae.2305	2.557881776
PN1GF.vae.19345	2.557860778
PN3JF.vae.16046	2.557382399
R78	2.55676349
PN13RK.vae.22689	2.555189478
PN2CB.bin.112	2.555107231
PN6RS.vae.10052	2.554897505
PN8RM.vae.3080	2.554776224
PN5GF.bin.69	2.552888905
PN5CG.vae.103980	2.552621175
PN4RG.vae.11719	2.552096613
PN15RC.vae.9046	2.551287752
PN5RG.vae.450	2.549479754
PN1CD.bin.25	2.548665438
PN5RD.vae.13310	2.548562362
PN16RM.bin.80	2.54779212
PN6RQ.vae.45334	2.546799654
PN3CD.vae.51794	2.546168534
PN8RS.vae.9408	2.545341943
PN3RB.vae.7224	2.544469733
PN15RJ.vae.8082	2.542899361
PN7RT.bin.186	2.542724898
PN13RG.bin.11	2.541263437
PN13RI.vae.4836	2.540732372
PN9RN.vae.8861	2.540022176
PN3GD.vae.24199	2.539918456
PN8RE.vae.2402	2.539095569
PN8RE.vae.5104	2.537486594
PN10RO.vae.26865	2.536696136
PN13RF.bin.5	2.536317575
PN6RF.vae.32939	2.535724877
PN2LJ.vae.18012	2.535326855
PN5LE.vae.14281	2.534742388
PN15RD.vae.5788	2.534627271
PN14RJ.bin.84	2.531048347
PN16RF.bin.22	2.530698846
PN14RN.vae.373	2.530172045
PN7RA.vae.24338	2.529013499
PN5LE.vae.12265	2.528835154
PN4RC.bin.85	2.527893687
PN10RS.vae.30369	2.526231167
