DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	occurence
PN3RF.vae.24060	1.146263774
PN16RK.vae.13852	1.476804367
PN5LH.vae.17356	1.734535481
PN7RC.bin.100	0.983536476
PN1RH.vae.13216	1.67252226
PN1RE.vae.1621	1.470417568
PN13RS.vae.6370	1.385406779
PN16RC.vae.2245	1.666419661
PN6RH.vae.7808	1.575612247
PN7RI.bin.161	1.125413635
PN12RA.vae.46444	1.110935812
PN8RD.bin.74	1.621117167
PN6RC.vae.3581	1.755057148
PN3CD.vae.51794	1.308566748
PN16RI.vae.19097	1.527604521
PN3RH.vae.37285	1.656054145
PN16RK.vae.2142	1.578129903
PN14RO.vae.50703	1.567970505
PN2LF.bin.36	0.738023809
PN10RF.vae.9542	1.645435169
PN3RB.bin.56	1.658147135
PN15RO.vae.261	1.344405174
PN11RF.vae.8556	1.389301823
PN13RC.vae.55473	1.498446292
PN10RR.vae.8239	1.530415498
PN6RS.vae.6788	1.489302913
PN13RC.vae.146874	1.709299657
PN5CA.vae.9885	1.220897392
PN10RE.vae.35066	1.580633048
PN10RH.vae.19470	1.670497573
PN16RF.vae.34783	1.575612247
PN10RI.vae.17698	1.470417568
PN2LG.vae.4115	1.507401135
PN5LA.vae.7976	1.460657731
PN6RS.bin.92	1.20931552
PN15RM.bin.13	1.67252226
PN5LG.vae.9777	1.220897392
PN7RC.bin.171	1.056087144
PN15RL.vae.14864	0.896386301
PN3CH.bin.113	1.664366255
PN5RG.vae.33178	1.585596468
PN5RH.vae.4409	1.725690074
PN11RB.bin.71	1.678540294
PN13RA.bin.191	0.641113796
PN7RJ.vae.4665	1.317807405
PN9RF.vae.4481	1.429988911
PN16RL.vae.5728	1.385406779
PN14RA.vae.434	1.002841632
PN1RH.vae.21008	1.557567744
PN12RC.vae.3991	1.06435967
PN10RB.vae.19525	1.521927388
PN10RI.vae.3953	1.495419837
PN14RR.vae.23829	1.549598814
PN6RD.vae.1901	1.711151662
PN16RJ.vae.645	1.734535481
PN5RE.vae.85259	1.634550026
PN13RQ.bin.227	0.817205055
PN3LD.vae.17632	1.322355033
PN5RC.vae.7632	1.393162243
