name	d_mean	d_sd	d_n	c_mean	c_sd	c_n	yi	vi	measure	model	method_tau2	val_tau2	I2	Q	Q_pval	estimate	ci_lb	ci_ub	pval	index	plab
LN-BJBP	615	118.921075601519	10	828	117.597376064021	8	-1.71390561236081	0.306596456891163	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
LN-JSBP	754.75	92.4410907722204	20	828	117.597376064021	8	-0.71227391691244	0.184059538084175	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
LN-LDBP	859.066666666667	42.7375155816905	15	828	117.597376064021	8	0.392226556885033	0.195011050838969	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
LN-THNP	746.625	86.8758350422355	8	828	117.597376064021	8	-0.744048381027882	0.267300249790944	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
LN2-LDBP	779.857142857143	118.932874225037	21	828	117.597376064021	8	-0.394566983103921	0.175303239070008	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
SD-LWP	987	45.1146687157662	22	828	117.597376064021	8	2.19129063629621	0.250483789666536	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
SX-LLBP	730.15	93.5697178859868	20	828	117.597376064021	8	-0.944242629837871	0.190921324000056	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
HB-MSP	887.375	82.379507969721	16	946	37.8606467381181	8	-0.793863075559403	0.200629553807013	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
HL-MP	1086.05	52.0955347111641	20	946	37.8606467381181	8	2.79334561823015	0.314335352551528	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
HL2-MP	961.227272727273	48.5621171365008	22	946	37.8606467381181	8	0.321228541175349	0.17217434171564	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
HN-YNBP	921.631578947368	40.3157131295752	19	946	37.8606467381181	8	-0.596028566168564	0.184210283608275	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
IM-IMBP	1000.35294117647	32.8518286714579	17	946	37.8606467381181	8	1.52547335196881	0.230364908363104	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
