DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_completeness
PN1CJ_k141_1416747	75750
PN1RA_k141_4269174	62980
PN5JH_k141_591918	66200
PN5RD_k141_725775_1	58383
PN5RG_k141_466908	132627
PN11RI_k141_2138372_fragment_1	49947
PN12RH_k141_631300	82872
PN16RB_k141_303313	80542
PN1CA_k141_75685	86015
PN1RK_k141_1966819	87859
PN2CC_k141_1405031	35975
PN2RC_k141_1683474	79784
PN3CB_k141_947888_1	73453
PN3CD_k141_1371524	179873
PN4RA_k141_252876	87076
PN5CA_k141_720169	47027
PN5RE_k141_807699	84546
PN7RO_k141_61714	75514
PN8RI_k141_16891	60959
PN8RO_k141_367191	173545
PN1RD_k141_713435	93439
PN10RC_k141_1176755	63367
PN1RI_k141_1486813	102833
CH13_NODE_2_1	68803
PN16RP_k141_333404	106694
PN5RG_k141_343877	99065
PN2CJ_k141_65877	29124
PN8RN_k141_719105	49111
PN5RB_k141_675539	62253
PN5RG_k141_1013660_fragment_1	53774
CH13_NODE_24_1	51227
PN11RA_k141_2021951_1	79616
PN11RC_k141_1959176	25868
PN11RG_k141_540136	90305
PN11RK_k141_2102169	37831
PN11RL_k141_477086	25434
PN12RJ_k141_396806	44130
PN13RA_k141_2254628	76600
PN14RR_k141_184264_fragment_1	45687
PN16RE_k141_465396	62364
PN1CD_k141_511900	89638
PN1CF_k141_459621	34754
PN1CI_k141_504757	66908
PN1GE_k141_305117	81956
PN1GF_k141_162414	92633
PN1GF_k141_35582	54975
PN1LI_k141_1118363_1	61197
PN1RF_k141_665741	38997
PN1RG_k141_381374	54438
PN1RI_k141_607224	88754
PN1RL_k141_1817957	73582
PN2CB_k141_1338302	42095
PN2RA_k141_627841	62498
PN2RG_k141_499345	66891
PN3CF_k141_2516765	47649
PN3JE_k141_1973	29338
PN3LA_k141_9696	59665
PN3LC_k141_695144	63003
PN3RA_k141_1538218	52517
PN3RA_k141_614558_1	43341
PN3RE_k141_1225599	24953
PN4RE_k141_985043	23583
PN5CB_k141_118046	61437
PN5CC_k141_61128	53371
PN5LA_k141_64767	50052
PN5LF_k141_732312_fragment_1	36264
PN5LH_k141_509752	98583
PN5RE_k141_431224_1	34277
PN5RF_k141_370406	166413
PN6RB_k141_141750	38378
PN6RN_k141_205111_1	54479
PN8RG_k141_479921	20339
PN8RG_k141_971732	34536
PN9RE_k141_45117	70119
PN9RO_k141_1028206	56483
PN8RO_k141_708628	95367
PN3RD_k141_1346631	57990
PN8RG_k141_682231	175738
PN5JH_k141_297003	69424
PN14RQ_k141_46322	64926
PN1RH_k141_506078	34027
PN7RL_k141_552281_fragment_1	42904
PN5RB_k141_792740_1	49375
PN10RL_k141_1876698	100738
PN13RE_k141_821292	52929
PN13RI_k141_83982	59641
PN2CI_k141_2699851	104467
PN14RD_k141_1701072	55550
PN5RG_k141_608398_1	26663
PN3CC_k141_2500759	102153
PN14RH_k141_891240	56214
PN1RK_k141_17038	78739
PN10RN_k141_621367	55912
PN16RH_k141_148475	37413
PN1CA_k141_361505	46278
PN3RA_k141_453813_1	31626
PN5CF_k141_720800	45909
PN7RP_k141_1243058_1	52307
CH10_NODE_53_1	31491
PN10RM_k141_1510247_1	35818
PN10RO_k141_1276754	12267
PN10RO_k141_170838	12019
PN14RS_k141_480734	17086
PN15RO_k141_1303523	16749
PN1CC_k141_5728	9584
PN1CC_k141_779533	10083
PN1GC_k141_228834	28821
PN1GG_k141_18777	22936
PN1GH_k141_102691	8844
PN1GJ_k141_99496	6831
PN1GK_k141_65724	29703
PN1JH_k141_104664_1	30202
PN1JJ_k141_22499	19889
PN1JL_k141_128649	52722
PN1RH_k141_2095088	37324
PN2GC_k141_399758	35043
PN2GC_k141_426992	59302
PN3DG_k141_371017	11952
PN3GA_k141_388287	11980
PN3GA_k141_6266	18837
PN3GE_k141_143649	8355
PN3JA_k141_55584	14129
PN3JF_k141_137996	12191
PN3JG_k141_350182	32280
PN5GD_k141_636376_1	57834
PN5RC_k141_372456	29216
PN6RF_k141_901165	19203
PN6RQ_k141_1484611	7039
PN6RQ_k141_1717997_1	36160
PN7RE_k141_1291204	21515
PN7RE_k141_397617	17158
PN1GE_k141_116111	36510
PN1GK_k141_90722	7524
PN3JD_k141_113252	46772
PN11RJ_k141_1863085	22893
PN11RK_k141_1368833_1	39027
PN14RN_k141_1009016	41693
PN2RI_k141_2599465	23940
PN3CF_k141_370041	38701
PN3RF_k141_3292893_1	34945
PN8RC_k141_226274_fragment_1	4722
K298_NODE_25_1	33293
K298_NODE_27	28647
PN10RH_k141_2075517_1	37294
PN10RJ_k141_285861	20395
PN11RI_k141_795975	29521
PN13RC_k141_430475	18961
PN16RK_k141_2195847	8093
PN16RV_k141_1528384	23963
PN1CI_k141_219571	11892
PN1RK_k141_1350794	11524
PN2CG_k141_1069489	33989
PN2RA_k141_552669	7278
PN5RA_k141_238633	28512
PN5RB_k141_603541	7907
PN5RE_k141_1091079	33499
PN6RM_k141_1251512	25803
PN7RB_k141_777111_1	27621
PN8RO_k141_895593	23603
PN8RQ_k141_62363	10040
PN3RH_k141_1952597_1	31681
PN10RO_k141_1875878_1	16221
PN13RH_k141_1205624	8834
PN5RB_k141_518943	28275
PN8RC_k141_220773	27903
PN6RO_k141_1716429	35138
PN14RP_k141_1084326_1	38270
PN13RA_k141_355897	22026
PN15RE_k141_462058	32638
PN7RV_k141_623612	22210
PN5CA_k141_523490_fragment_1	9436
PN11RI_k141_1564012	13922
PN12RI_k141_353311	36926
PN2CH_k141_1773512	30510
PN2LD_k141_969554	31338
PN9RK_k141_419698	12569
PN16RE_k141_180419	37387
PN11RG_k141_1672478	11365
PN12RE_k141_250755	27893
PN13RE_k141_535603	38287
PN13RQ_k141_694424	13285
PN14RA_k141_290188	31861
PN14RB_k141_618548	17044
PN14RD_k141_1691452	25514
PN14RM_k141_276507	27198
PN14RR_k141_937447	51083
PN16RO_k141_1779827	12835
PN16RR_k141_373709	81924
PN1CG_k141_972766	33777
PN1GE_k141_11787	21833
PN1GG_k141_341195	66573
PN1RA_k141_4399301	134509
PN1RJ_k141_1800640	46561
PN1RK_k141_1645201	23476
PN1RL_k141_322926	216450
PN2RI_k141_2984224	41147
PN3CC_k141_1360053	34203
PN3CC_k141_779362	39013
PN3LA_k141_387266	87384
PN3RD_k141_1208011	21556
PN3RH_k141_410078	22363
PN6RL_k141_1526858	17764
PN6RR_k141_511677	17311
PN7RE_k141_1152214	13027
PN7RF_k141_1457483	39845
PN7RF_k141_2081948	45890
PN8RD_k141_1263295	12873
PN8RJ_k141_202512	21632
PN8RM_k141_1402296	12947
PN14RK_k141_1703826	21664
PN7RO_k141_956453	20034
PN3RF_k141_2190729_1	26948
PN15RO_k141_692759	13031
PN8RL_k141_513500	41320
PN14RL_k141_1289130	8305
PN7RL_k141_1526855	47549
PN3CD_k141_751624	23681
PN15RB_k141_99409	9566
PN1CI_k141_272569	13082
PN13RI_k141_808834	80400
PN7RL_k141_476843	36303
PN1RA_k141_3631952	93307
PN1RK_k141_1313867	72459
PN6RG_k141_1870773	71927
PN13RO_k141_1109344	44692
PN13RS_k141_1768585	38930
PN2RA_k141_714123	64736
PN4RD_k141_1428589	30567
PN6RD_k141_82769	24208
PN7RL_k141_1533864	31630
PN6RF_k141_1578880	43744
PN5CF_k141_87881_1	28940
PN7RK_k141_770562	49417
PN8RF_k141_776926	60090
PN10RK_k141_749922_1	32519
PN12RH_k141_1089674	28279
PN14RH_k141_1212727	53029
PN14RI_k141_1802893	23533
PN15RF_k141_659368	74874
PN1CL_k141_1382563	153424
PN6RS_k141_1109345_1	28137
